symbol,date,open,high,low,close,volume,open_interest,turnover,settle,pre_settle,variety
TF1312,20130906,94.22,94.54,94.14,94.17,34248,2625.0,3231067.288,94.192,94.168,TF
TF1403,20130906,94.694,94.694,94.2,94.288,1840,218.0,173856.172,94.312,94.188,TF
TF1406,20130906,94.9,94.9,94.306,94.344,547,116.0,51735.122,94.358,94.218,TF
TF1312,20130909,94.156,94.156,93.858,93.906,11831,2797.0,1111516.426,93.916,94.192,TF
TF1403,20130909,94.26,94.26,93.982,94.0,855,234.0,80425.426,94.022,94.312,TF
TF1406,20130909,94.306,94.306,94.048,94.07,124,111.0,11670.49,94.074,94.358,TF
TF1312,20130910,93.87,93.916,93.806,93.842,5375,2708.0,504553.84,93.846,93.916,TF
TF1403,20130910,94.0,94.0,93.9,93.93,311,154.0,29222.472,93.926,94.022,TF
TF1406,20130910,94.072,94.074,93.98,94.008,78,89.0,7335.398,94.008,94.074,TF
TF1312,20130911,93.718,93.78,93.494,93.598,8830,3293.0,826583.424,93.556,93.846,TF
TF1403,20130911,93.792,93.86,93.596,93.688,348,221.0,32607.62,93.63,93.926,TF
TF1406,20130911,93.962,93.962,93.698,93.766,72,85.0,6753.724,93.732,94.008,TF
TF1312,20130912,93.59,93.83,93.59,93.728,8379,2871.0,785382.346,93.752,93.556,TF
TF1403,20130912,93.706,93.942,93.706,93.842,328,202.0,30779.412,93.868,93.63,TF
TF1406,20130912,93.796,94.0,93.796,93.926,57,100.0,5353.122,93.95,93.732,TF
TF1312,20130913,93.7,93.846,93.678,93.764,6901,3000.0,647037.948,93.768,93.752,TF
TF1403,20130913,93.828,93.956,93.79,93.892,159,182.0,14924.2,93.884,93.868,TF
TF1406,20130913,93.906,94.01,93.88,93.972,31,93.0,2912.472,93.97,93.95,TF
TF1312,20130916,93.764,93.938,93.74,93.854,3850,3189.0,361328.69,93.86,93.768,TF
TF1403,20130916,93.9,94.042,93.898,93.966,91,169.0,8550.938,93.98,93.884,TF
TF1406,20130916,93.964,94.096,93.964,94.052,38,93.0,3573.29,94.05,93.97,TF
TF1312,20130917,93.87,94.558,93.842,94.234,22275,5022.0,2098985.08,94.244,93.86,TF
TF1403,20130917,94.002,94.648,93.98,94.044,528,166.0,49819.438,94.298,93.98,TF
TF1406,20130917,94.06,94.696,94.06,94.396,137,98.0,12926.496,94.42,94.05,TF
TF1312,20130918,94.25,94.378,94.1,94.206,10692,4465.0,1007516.842,94.218,94.244,TF
TF1403,20130918,94.294,94.45,94.2,94.31,220,172.0,20747.102,94.284,94.298,TF
TF1406,20130918,94.426,94.498,94.256,94.364,68,105.0,6418.476,94.386,94.42,TF
TF1312,20130923,94.55,94.592,94.27,94.35,7345,4527.0,693197.146,94.36,94.218,TF
TF1403,20130923,94.6,94.6,94.37,94.438,212,194.0,20025.27,94.458,94.284,TF
TF1406,20130923,94.446,94.696,94.406,94.45,117,110.0,11056.664,94.504,94.386,TF
TF1312,20130924,94.312,94.4,94.242,94.34,5063,4493.0,477509.446,94.33,94.36,TF
TF1403,20130924,94.422,94.45,94.314,94.43,123,202.0,11609.39,94.406,94.458,TF
TF1406,20130924,94.496,94.498,94.38,94.482,38,113.0,3589.114,94.446,94.504,TF
TF1312,20130925,94.35,94.55,94.35,94.42,8207,4731.0,775134.314,94.43,94.33,TF
TF1403,20130925,94.444,94.602,94.444,94.49,173,202.0,16352.092,94.49,94.406,TF
TF1406,20130925,94.496,94.618,94.494,94.52,88,121.0,8320.65,94.522,94.446,TF
TF1312,20130926,94.448,94.614,94.448,94.572,5405,4752.0,511068.59,94.572,94.43,TF
TF1403,20130926,94.59,94.654,94.586,94.636,52,203.0,4920.53,94.638,94.49,TF
TF1406,20130926,94.546,94.668,94.546,94.668,56,133.0,5298.96,94.644,94.522,TF
TF1312,20130927,94.55,94.552,94.3,94.346,4453,4109.0,420224.524,94.362,94.572,TF
TF1403,20130927,94.596,94.596,94.36,94.404,103,215.0,9725.488,94.422,94.638,TF
TF1406,20130927,94.606,94.606,94.398,94.406,51,120.0,4817.232,94.422,94.644,TF
TF1312,20130930,94.346,94.5,94.202,94.462,3515,4094.0,331884.37,94.444,94.362,TF
TF1403,20130930,94.342,94.548,94.316,94.484,58,222.0,5479.05,94.486,94.422,TF
TF1406,20130930,94.36,94.55,94.356,94.496,48,128.0,4534.632,94.486,94.422,TF
TF1312,20131008,94.52,94.546,94.402,94.412,2399,3955.0,226579.948,94.422,94.444,TF
TF1403,20131008,94.564,94.576,94.462,94.462,32,221.0,3024.17,94.478,94.486,TF
TF1406,20131008,94.546,94.546,94.456,94.456,31,126.0,2929.368,94.462,94.486,TF
TF1312,20131009,94.33,94.4,94.282,94.362,1869,3802.0,176301.074,94.346,94.422,TF
TF1403,20131009,94.432,94.44,94.316,94.38,62,236.0,5849.78,94.368,94.478,TF
TF1406,20131009,94.406,94.406,94.348,94.396,16,119.0,1510.056,94.38,94.462,TF
TF1312,20131010,94.362,94.446,94.28,94.35,1506,3777.0,142099.512,94.33,94.346,TF
