symbol,date,open,high,low,close,volume,open_interest,turnover,settle,pre_settle,variety
TS1812,20180817,99.4,99.405,99.075,99.16,8559,2973.0,1699130.2,99.14,99.36,TS
TS1903,20180817,99.21,99.235,99.14,99.175,8,5.0,1586.91,99.17,99.08,TS
TS1906,20180817,98.705,98.99,98.705,98.99,4,3.0,791.01,98.99,98.96,TS
TS1812,20180820,99.1,99.26,99.1,99.215,1865,3172.0,370047.77,99.21,99.14,TS
TS1903,20180820,99.1,99.1,99.1,99.1,1,4.0,198.2,99.1,99.17,TS
TS1906,20180820,,,,98.99,0,3.0,0.0,99.06,98.99,TS
TS1812,20180821,99.185,99.235,99.12,99.185,1339,3265.0,265587.44,99.195,99.21,TS
TS1903,20180821,,,,99.1,0,4.0,0.0,99.085,99.1,TS
TS1906,20180821,,,,98.99,0,3.0,0.0,99.045,99.06,TS
TS1812,20180822,99.235,99.29,99.19,99.2,1225,3554.0,243145.64,99.195,99.195,TS
TS1903,20180822,,,,99.1,0,4.0,0.0,99.085,99.085,TS
TS1906,20180822,,,,98.99,0,3.0,0.0,99.045,99.045,TS
TS1812,20180823,99.28,99.28,99.225,99.275,819,3480.0,162581.43,99.245,99.195,TS
TS1903,20180823,99.115,99.115,99.115,99.115,1,4.0,198.23,99.115,99.085,TS
TS1906,20180823,,,,98.99,0,3.0,0.0,99.095,99.045,TS
TS1812,20180824,99.305,99.38,99.29,99.31,464,3359.0,92189.72,99.325,99.245,TS
TS1903,20180824,98.985,99.2,98.985,99.2,2,4.0,396.37,99.09,99.115,TS
TS1906,20180824,,,,98.99,0,3.0,0.0,99.175,99.095,TS
TS1812,20180827,99.27,99.3,99.205,99.27,671,3559.0,133198.71,99.275,99.325,TS
TS1903,20180827,,,,99.2,0,4.0,0.0,99.04,99.09,TS
TS1906,20180827,99.02,99.02,99.02,99.02,1,3.0,198.04,99.02,99.175,TS
TS1812,20180828,99.215,99.315,99.185,99.275,574,3537.0,113935.08,99.29,99.275,TS
TS1903,20180828,99.2,99.22,99.17,99.2,16,15.0,3174.52,99.2,99.04,TS
TS1906,20180828,99.195,99.205,98.895,98.895,10,8.0,1983.16,98.99,99.02,TS
TS1812,20180829,99.27,99.32,99.225,99.31,210,3525.0,41703.52,99.31,99.29,TS
TS1903,20180829,,,,99.2,0,15.0,0.0,99.22,99.2,TS
TS1906,20180829,,,,98.895,0,8.0,0.0,99.01,98.99,TS
TS1812,20180830,99.335,99.435,99.3,99.365,533,3425.0,105885.02,99.345,99.31,TS
TS1903,20180830,99.25,99.25,99.25,99.25,4,19.0,794.0,99.25,99.22,TS
TS1906,20180830,,,,98.895,0,8.0,0.0,99.045,99.01,TS
TS1812,20180831,99.36,99.4,99.315,99.375,239,3338.0,47504.63,99.385,99.345,TS
TS1903,20180831,99.28,99.3,99.28,99.3,2,19.0,397.16,99.29,99.25,TS
TS1906,20180831,,,,98.895,0,8.0,0.0,99.085,99.045,TS
TS1812,20180903,99.35,99.365,99.31,99.33,108,3310.0,21457.62,99.315,99.385,TS
TS1903,20180903,,,,99.3,0,19.0,0.0,99.22,99.29,TS
TS1906,20180903,,,,98.895,0,8.0,0.0,99.015,99.085,TS
TS1812,20180904,99.315,99.315,99.265,99.28,90,3307.0,17871.11,99.275,99.315,TS
TS1903,20180904,,,,99.3,0,19.0,0.0,99.18,99.22,TS
TS1906,20180904,,,,98.895,0,8.0,0.0,98.975,99.015,TS
TS1812,20180905,99.29,99.315,99.275,99.275,109,3311.0,21645.77,99.28,99.275,TS
TS1903,20180905,,,,99.3,0,19.0,0.0,99.185,99.18,TS
TS1906,20180905,,,,98.895,0,8.0,0.0,98.98,98.975,TS
TS1812,20180906,99.29,99.305,99.265,99.27,204,3267.0,40506.74,99.28,99.28,TS
TS1903,20180906,,,,99.3,0,19.0,0.0,99.185,99.185,TS
TS1906,20180906,,,,98.895,0,8.0,0.0,98.98,98.98,TS
TS1812,20180907,99.26,99.28,99.245,99.255,360,3257.0,71471.57,99.265,99.28,TS
TS1903,20180907,,,,99.3,0,19.0,0.0,99.17,99.185,TS
TS1906,20180907,,,,98.895,0,8.0,0.0,98.965,98.98,TS
TS1812,20180910,99.25,99.275,99.22,99.25,393,3233.0,78009.43,99.24,99.265,TS
TS1903,20180910,,,,99.3,0,19.0,0.0,99.145,99.17,TS
TS1906,20180910,,,,98.895,0,8.0,0.0,98.94,98.965,TS
TS1812,20180911,99.26,99.265,99.205,99.24,383,3261.0,76006.83,99.225,99.24,TS
TS1903,20180911,,,,99.3,0,19.0,0.0,99.13,99.145,TS
TS1906,20180911,,,,98.895,0,8.0,0.0,98.925,98.94,TS
TS1812,20180912,99.25,99.255,99.22,99.24,365,3188.0,72444.01,99.24,99.225,TS
TS1903,20180912,,,,99.3,0,19.0,0.0,99.145,99.13,TS
TS1906,20180912,,,,98.895,0,8.0,0.0,98.94,98.925,TS
TS1812,20180913,99.225,99.31,99.22,99.27,267,3121.0,53007.13,99.28,99.24,TS
TS1903,20180913,99.18,99.25,99.18,99.25,8,27.0,1587.76,99.235,99.145,TS
TS1906,20180913,,,,98.895,0,8.0,0.0,98.98,98.94,TS
TS1812,20180914,99.295,99.305,99.275,99.3,129,3080.0,25617.76,99.3,99.28,TS
TS1903,20180914,,,,99.25,0,27.0,0.0,99.255,99.235,TS
TS1906,20180914,,,,98.895,0,8.0,0.0,99.0,98.98,TS
TS1812,20180917,99.405,99.405,99.325,99.345,163,3118.0,32386.48,99.34,99.3,TS
TS1903,20180917,,,,99.25,0,27.0,0.0,99.295,99.255,TS
TS1906,20180917,,,,98.895,0,8.0,0.0,99.04,99.0,TS
TS1812,20180918,99.385,99.385,99.335,99.34,126,3123.0,25036.24,99.345,99.34,TS
TS1903,20180918,,,,99.25,0,27.0,0.0,99.3,99.295,TS
