symbol,date,open,high,low,close,volume,open_interest,turnover,settle,pre_settle,variety
T1509,20150320,96.9,97.96,96.525,97.09,3332,817.0,323005.09,97.05,96.15,T
T1512,20150320,97.48,98.66,97.125,97.435,63,31.0,6135.38,97.495,96.19,T
T1603,20150320,97.4,98.995,97.35,97.785,22,14.0,2147.15,97.695,96.23,T
T1509,20150323,97.095,97.095,96.84,97.02,1386,1682.0,134432.91,96.96,97.05,T
T1512,20150323,,,,97.435,0,31.0,0.0,97.405,97.495,T
T1603,20150323,97.1,97.1,97.1,97.1,1,14.0,97.1,97.1,97.695,T
T1509,20150324,97.135,97.22,96.875,96.92,1380,2102.0,133914.0,96.91,96.96,T
T1512,20150324,,,,97.435,0,31.0,0.0,97.355,97.405,T
T1603,20150324,97.905,97.905,97.58,97.58,3,15.0,293.39,97.58,97.1,T
T1509,20150325,97.02,97.03,96.76,96.85,1234,2484.0,119573.68,96.84,96.91,T
T1512,20150325,97.045,97.68,97.045,97.5,9,32.0,877.865,97.495,97.355,T
T1603,20150325,,,,97.58,0,15.0,0.0,97.51,97.58,T
T1509,20150326,96.835,96.89,96.37,96.37,1073,3014.0,103614.455,96.42,96.84,T
T1512,20150326,97.5,97.5,97.0,97.0,4,31.0,388.5,97.0,97.495,T
T1603,20150326,,,,97.58,0,15.0,0.0,97.09,97.51,T
T1509,20150327,96.3,96.51,95.98,96.49,1792,3577.0,172559.72,96.375,96.42,T
T1512,20150327,96.98,96.98,96.835,96.835,3,33.0,290.795,96.93,97.0,T
T1603,20150327,96.98,97.275,96.98,97.275,4,17.0,388.37,97.13,97.09,T
T1509,20150330,96.065,96.4,96.0,96.16,1153,3869.0,110858.29,96.09,96.375,T
T1512,20150330,96.71,97.265,96.675,96.675,5,33.0,484.935,96.675,96.93,T
T1603,20150330,98.39,98.39,97.0,97.2,12,19.0,1169.735,97.265,97.13,T
T1509,20150331,95.8,95.9,95.565,95.65,2327,4666.0,222681.59,95.71,96.09,T
T1512,20150331,96.125,96.46,95.715,96.145,9,32.0,864.95,96.11,96.675,T
T1603,20150331,,,,97.2,0,19.0,0.0,96.885,97.265,T
T1509,20150401,95.66,96.095,95.655,96.095,673,4551.0,64562.6,95.99,95.71,T
T1512,20150401,,,,96.145,0,32.0,0.0,96.39,96.11,T
T1603,20150401,,,,97.2,0,19.0,0.0,97.165,96.885,T
T1509,20150401,95.66,96.095,95.655,96.095,673,4551.0,64562.6,95.99,95.71,T
T1512,20150401,,,,96.145,0,32.0,0.0,96.39,96.11,T
T1603,20150401,,,,97.2,0,19.0,0.0,97.165,96.885,T
T1509,20150402,96.3,96.425,96.2,96.32,1011,4613.0,97366.585,96.29,95.99,T
T1512,20150402,96.695,96.695,96.695,96.695,1,32.0,96.695,96.695,96.39,T
T1603,20150402,,,,97.2,0,19.0,0.0,97.465,97.165,T
T1509,20150403,96.315,96.375,96.005,96.01,1099,5095.0,105745.555,96.09,96.29,T
T1512,20150403,,,,96.695,0,32.0,0.0,96.495,96.695,T
T1603,20150403,,,,97.2,0,19.0,0.0,97.265,97.465,T
T1509,20150407,96.005,96.31,95.8,95.93,831,5425.0,79814.44,95.98,96.09,T
T1512,20150407,96.41,96.41,96.395,96.4,6,36.0,578.405,96.4,96.495,T
T1603,20150407,97.175,97.2,96.755,97.2,3,19.0,291.13,97.2,97.265,T
T1509,20150408,96.0,96.1,95.13,95.16,2904,6620.0,277330.105,95.23,95.98,T
T1512,20150408,96.08,96.08,95.24,95.55,34,63.0,3248.595,95.59,96.4,T
T1603,20150408,96.5,96.835,96.18,96.83,6,22.0,579.71,96.64,97.2,T
T1509,20150409,95.3,95.4,95.195,95.265,1389,7335.0,132350.86,95.24,95.23,T
T1512,20150409,95.6,95.875,95.6,95.76,14,74.0,1338.835,95.76,95.59,T
T1603,20150409,96.975,96.975,96.05,96.2,13,31.0,1250.015,96.2,96.64,T
T1509,20150410,95.35,95.415,95.17,95.19,1073,7739.0,102223.095,95.21,95.24,T
T1512,20150410,,,,95.76,0,74.0,0.0,95.73,95.76,T
T1603,20150410,,,,96.2,0,31.0,0.0,96.17,96.2,T
T1509,20150413,95.18,95.68,95.18,95.63,1895,8872.0,180966.41,95.62,95.21,T
T1512,20150413,96.03,96.03,95.8,95.8,6,74.0,575.03,95.8,95.73,T
T1603,20150413,96.38,96.38,96.38,96.38,4,32.0,385.52,96.38,96.17,T
T1509,20150414,95.7,96.0,95.53,95.57,1718,9475.0,164669.415,95.73,95.62,T
T1512,20150414,96.3,96.3,96.3,96.3,1,75.0,96.3,96.3,95.8,T
T1603,20150414,96.7,96.7,96.7,96.7,4,36.0,386.8,96.7,96.38,T
T1509,20150415,95.9,96.285,95.775,96.15,2148,9687.0,206154.845,96.04,95.73,T
T1512,20150415,96.4,96.415,96.4,96.415,11,80.0,1060.415,96.415,96.3,T
T1603,20150415,96.88,96.88,96.88,96.88,10,39.0,968.8,96.88,96.7,T
T1509,20150416,96.735,96.735,95.86,96.18,1436,10198.0,138175.13,96.175,96.04,T
T1512,20150416,,,,96.415,0,80.0,0.0,96.55,96.415,T
T1603,20150416,,,,96.88,0,39.0,0.0,97.015,96.88,T
T1509,20150417,96.19,96.5,96.05,96.3,1613,10810.0,155172.0,96.285,96.175,T
T1512,20150417,96.8,96.8,96.8,96.8,1,81.0,96.8,96.8,96.55,T
