symbol,date,open,high,low,close,volume,daily_return,vol_up_std_1M,vol_up_std_3M,vol_up_std_6M,vol_downshadow_avg_1M,vol_downshadow_avg_3M,vol_downshadow_avg_6M,vol_downshadow_std_1M,vol_downshadow_std_3M,vol_downshadow_std_6M,vol_highlow_avg_1M,vol_highlow_avg_3M,vol_highlow_avg_6M,vol_highlow_std_1M,vol_highlow_std_3M,vol_highlow_std_6M,vol_std_1M,vol_std_3M,vol_std_6M,vol_down_std_1M,vol_upshadow_avg_1M,vol_upshadow_avg_3M,vol_upshadow_avg_6M,vol_upshadow_std_1M,vol_upshadow_std_3M,vol_upshadow_std_6M,vol_w_downshadow_avg_1M,vol_w_downshadow_avg_3M,vol_w_downshadow_avg_6M,vol_w_downshadow_std_1M,vol_w_downshadow_std_3M,vol_w_downshadow_std_6M,vol_w_upshadow_avg_1M,vol_w_upshadow_avg_3M,vol_w_upshadow_avg_6M,vol_w_upshadow_std_1M,vol_w_upshadow_std_3M,vol_w_upshadow_std_6M
TL主连,2023-04-21,96.09,96.28,96.01,96.21,11587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TL主连,2023-04-24,96.28,96.41,96.26,96.37,4385,0.001663028791186072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TL主连,2023-04-25,96.4,96.48,96.32,96.4,7308,0.00031130019715686075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TL主连,2023-04-26,96.44,96.51,96.38,96.43,5745,0.0003112033195020736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TL主连,2023-04-27,96.57,96.79,96.47,96.79,4479,0.0037332780255108222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TL主连,2023-04-28,96.79,96.79,96.55,96.64,4379,-0.001549746874677238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TL主连,2023-05-04,96.89,97.1,96.89,97.1,4220,0.004759933774834302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TL主连,2023-05-05,97.16,97.57,97.13,97.45,5865,0.003604531410916767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TL主连,2023-05-08,97.38,97.38,97.05,97.1,5165,-0.0035915854284249704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TL主连,2023-05-09,97.15,97.23,97.08,97.17,5418,0.0007209062821833534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TL主连,2023-05-10,97.31,97.41,97.25,97.27,6545,0.001029124215292665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
