symbol,date,open,high,low,close,volume,ADX_14,PLUS_DI_14,MINUS_DI_14,CCI_14,MOM_10,ROC_10,RSI_14,WILLR_14,OBV,ATR_14
TL主连,2023-04-21,96.09,96.28,96.01,96.21,11587,,,,,,,,,11587.0,
TL主连,2023-04-24,96.28,96.41,96.26,96.37,4385,,,,,,,,,15972.0,
TL主连,2023-04-25,96.4,96.48,96.32,96.4,7308,,,,,,,,,23280.0,
TL主连,2023-04-26,96.44,96.51,96.38,96.43,5745,,,,,,,,,29025.0,
TL主连,2023-04-27,96.57,96.79,96.47,96.79,4479,,,,,,,,,33504.0,
TL主连,2023-04-28,96.79,96.79,96.55,96.64,4379,,,,,,,,,29125.0,
TL主连,2023-05-04,96.89,97.1,96.89,97.1,4220,,,,,,,,,33345.0,
TL主连,2023-05-05,97.16,97.57,97.13,97.45,5865,,,,,,,,,39210.0,
TL主连,2023-05-08,97.38,97.38,97.05,97.1,5165,,,,,,,,,34045.0,
TL主连,2023-05-09,97.15,97.23,97.08,97.17,5418,,,,,,,,,39463.0,
TL主连,2023-05-10,97.31,97.41,97.25,97.27,6545,,,,,1.0600000000000023,1.101756574160695,,,46008.0,
TL主连,2023-05-11,97.51,97.69,97.4,97.45,4683,,,,,1.0799999999999983,1.1206807097644544,,,50691.0,
TL主连,2023-05-12,97.29,97.41,97.24,97.35,6230,,,,,0.9499999999999886,0.985477178423233,,,44461.0,
TL主连,2023-05-15,97.26,97.4,97.12,97.23,3779,,,,55.08326277166346,0.7999999999999972,0.8296173390023753,,-27.38095238095213,40682.0,
TL主连,2023-05-16,97.23,97.29,97.09,97.26,3187,,44.46833463643385,9.968725566849004,42.26656233698496,0.46999999999999886,0.4855873540654976,71.0843373493975,-30.06993006992971,43869.0,0.2800000000000032
TL主连,2023-05-17,97.29,97.35,97.11,97.21,1931,,43.18232882098417,9.310228613155017,37.95132079824696,0.5699999999999932,0.5898178807946852,69.57967946779519,-35.03649635036514,41938.0,0.27714285714285974
TL主连,2023-05-18,97.11,97.18,96.97,97.17,2078,,40.31445767094297,12.566003638519845,0.2069781194628095,0.07000000000000739,0.07209062821833534,68.3335237007423,-39.69465648854924,39860.0,0.27448979591836936
TL主连,2023-05-19,96.83,97.0,96.79,96.97,5917,,36.21353539086764,16.10622263734505,-78.98749618785389,-0.480000000000004,-0.49256028732683754,62.323244464744946,-59.01639344262291,33943.0,0.2820262390670569
TL主连,2023-05-22,96.97,97.06,96.89,96.96,6401,,36.170581290193546,15.35375912083872,-79.63357477630804,-0.14000000000000057,-0.14418125643665958,62.02947030435331,-64.03508771929856,27542.0,0.27402436484798154
TL主连,2023-05-23,97.01,97.24,97.01,97.15,5062,,38.322125458055936,14.178794346655685,-33.012202954399775,-0.01999999999999602,-0.0205824843058533,65.36957195191764,-59.99999999999969,32604.0,0.2744511959302686
TL主连,2023-05-24,97.12,97.26,97.07,97.19,4825,,36.85002495678876,13.427867839604799,-18.48739495797022,-0.0799999999999983,-0.08224529659709434,66.04672337196263,-55.55555555555608,37429.0,0.268418967649536
TL主连,2023-05-25,97.16,97.18,96.96,97.04,6307,,34.47011881283814,15.649427610956485,-75.36873156340924,-0.4099999999999966,-0.4207285787583337,61.21294061553546,-72.22222222222196,31122.0,0.26567475567456944
TL主连,2023-05-26,96.99,97.09,96.74,96.81,6532,,31.171001961830093,20.167653083630853,-146.51741293531896,-0.539999999999992,-0.5546995377503805,54.61282214433362,-92.63157894736766,24590.0,0.27169798741210077
