symbol,date,open,high,low,close,volume
TF主连,2015/1/5,96.77,96.85,96.312,96.718,8901
TF主连,2015/1/6,96.65,96.72,96.44,96.536,4661
TF主连,2015/1/7,96.582,96.854,96.542,96.588,5246
TF主连,2015/1/8,96.586,96.792,96.586,96.68,4354
TF主连,2015/1/9,96.744,96.786,96.4,96.684,6152
TF主连,2015/1/12,96.6,96.74,96.48,96.7,3873
TF主连,2015/1/13,96.736,97.134,96.736,97.084,6919
TF主连,2015/1/14,97.1,97.3,97.032,97.178,7219
TF主连,2015/1/15,97.222,97.448,96.95,97.11,6128
TF主连,2015/1/16,97.26,97.512,97.098,97.45,7303
TF主连,2015/1/19,97.5,97.7,97.282,97.342,7860
TF主连,2015/1/20,97.3,97.578,97.052,97.51,6885
TF主连,2015/1/21,97.498,97.59,97.352,97.448,5223
TF主连,2015/1/22,97.52,97.738,97.472,97.688,6923
TF主连,2015/1/23,97.852,97.88,97.56,97.608,4437
TF主连,2015/1/26,97.61,97.818,97.49,97.8,4348
TF主连,2015/1/27,97.9,97.95,97.536,97.564,6313
TF主连,2015/1/28,97.41,97.598,97.314,97.598,6982
TF主连,2015/1/29,97.598,97.598,97.246,97.246,4337
TF主连,2015/1/30,97.2,97.4,97.188,97.298,4191
TF主连,2015/2/2,97.302,97.7,97.248,97.692,6294
TF主连,2015/2/3,97.686,97.818,97.542,97.716,4645
TF主连,2015/2/4,97.72,97.75,97.58,97.63,4099
TF主连,2015/2/5,98.5,98.522,98.118,98.132,5942
TF主连,2015/2/6,98.14,98.336,98.132,98.284,5284
TF主连,2015/2/9,98.3,98.384,98.286,98.33,3648
TF主连,2015/2/10,98.36,98.526,98.34,98.514,8720
TF主连,2015/2/11,98.506,98.964,98.506,98.96,12363
TF主连,2015/2/12,98.964,99.164,98.754,99.134,12215
TF主连,2015/2/13,99.12,99.314,98.956,99.17,8436
TF主连,2015/2/16,99.166,99.246,99.002,99.19,4518
TF主连,2015/2/17,99.288,99.494,99.186,99.39,6004
TF主连,2015/2/25,99.428,99.498,99.25,99.392,6382
TF主连,2015/2/26,99.37,99.37,98.96,99.15,8571
TF主连,2015/2/27,99.102,99.216,98.962,99.12,5958
TF主连,2015/3/2,99.27,99.27,98.664,98.808,10729
TF主连,2015/3/3,98.75,98.76,98.5,98.68,8895
TF主连,2015/3/4,98.65,98.906,98.62,98.75,11417
TF主连,2015/3/5,98.7,98.758,98.31,98.392,12529
TF主连,2015/3/6,98.35,98.8,98.162,98.47,21453
TF主连,2015/3/9,98.47,98.548,97.95,98.54,29091
TF主连,2015/3/10,98.402,98.5,98.012,98.318,31895
TF主连,2015/3/11,98.4,99,98.328,98.568,27970
TF主连,2015/3/12,98.592,98.938,98.56,98.802,27334
TF主连,2015/3/13,98.762,98.78,98.18,98.27,45232
TF主连,2015/3/16,98.266,98.354,98.02,98.106,19394
TF主连,2015/3/17,98.105,98.425,97.955,98.32,21614
TF主连,2015/3/18,98.35,98.43,97.825,97.825,15921
TF主连,2015/3/19,97.995,98.1,97.845,98.035,10085
TF主连,2015/3/20,98.16,98.295,98.06,98.17,6571
TF主连,2015/3/23,98.17,98.175,97.92,97.99,7134
TF主连,2015/3/24,98.065,98.26,97.84,97.94,10505
TF主连,2015/3/25,97.94,98.08,97.8,97.935,8731
TF主连,2015/3/26,98,98,97.4,97.405,11789
TF主连,2015/3/27,97.3,97.695,97.065,97.655,16364
TF主连,2015/3/30,97.5,97.52,96.825,97.15,25907
TF主连,2015/3/31,96.9,97.095,96.67,96.9,15338
TF主连,2015/4/1,96.95,97.36,96.84,97.305,10124
TF主连,2015/4/2,97.5,97.56,97.29,97.39,10754
TF主连,2015/4/3,97.45,97.48,96.96,97,10556
TF主连,2015/4/7,97.005,97.235,96.8,96.805,9466
TF主连,2015/4/8,96.855,96.97,96.275,96.32,19257
TF主连,2015/4/9,96.45,96.595,96.32,96.55,10995
TF主连,2015/4/10,96.55,96.7,96.41,96.45,10779
TF主连,2015/4/13,96.39,96.955,96.38,96.905,12681
TF主连,2015/4/14,96.95,97.265,96.75,96.75,14390
TF主连,2015/4/15,97,97.365,96.85,97.175,20214
TF主连,2015/4/16,97.21,97.29,97.07,97.25,8535
TF主连,2015/4/17,97.265,97.4,97.07,97.295,10115
TF主连,2015/4/20,97.68,98.075,97.58,98.075,11620
TF主连,2015/4/21,98.13,98.43,98.01,98.09,13430
TF主连,2015/4/22,98.09,98.25,97.965,98.2,8135
TF主连,2015/4/23,98.1,98.265,97.905,98.15,9187
TF主连,2015/4/24,98.1,98.1,97.755,97.845,9344
TF主连,2015/4/27,97.92,98.505,97.86,98.405,14143
TF主连,2015/4/28,98.35,98.49,98.26,98.38,7629
TF主连,2015/4/29,98.345,98.41,98.205,98.39,6243
TF主连,2015/4/30,98.43,98.62,98.4,98.46,8867
TF主连,2015/5/4,98.425,98.425,98.11,98.145,6679
TF主连,2015/5/5,98.075,98.21,97.95,98.015,8652
TF主连,2015/5/6,97.95,97.97,97.27,97.29,15563
TF主连,2015/5/7,97.285,97.53,97.1,97.245,11536
TF主连,2015/5/8,97.265,97.66,97.265,97.63,7722
TF主连,2015/5/11,98.415,98.415,97,97.665,9317
TF主连,2015/5/12,97.66,97.875,97.19,97.42,10396
TF主连,2015/5/13,97.4,97.615,97.245,97.445,7423
TF主连,2015/5/14,97.57,97.8,97.38,97.48,7454
TF主连,2015/5/15,97.53,97.83,97.52,97.83,4982
TF主连,2015/5/18,98.5,98.515,98.1,98.24,7129
TF主连,2015/5/19,98.2,98.25,97.5,97.89,8627
TF主连,2015/5/20,97.84,98.275,97.78,98.175,9075
TF主连,2015/5/21,98.16,98.22,97.7,97.985,6573
TF主连,2015/5/22,97.935,98.105,97.93,98.04,5965
TF主连,2015/5/25,98.005,98.085,97.71,97.785,6383
TF主连,2015/5/26,97.765,97.765,96.605,96.9,13450
TF主连,2015/5/27,96.93,97.185,96.67,96.835,9109
TF主连,2015/5/28,96.7,96.88,95.885,96.19,12109
TF主连,2015/5/29,96.16,96.295,95.92,96.115,7590
TF主连,2015/6/1,96.12,96.235,95.12,95.5,14312
TF主连,2015/6/2,95.705,96.28,95.63,96.18,12973
TF主连,2015/6/3,95.98,96.66,95.86,96.43,12792
TF主连,2015/6/4,96.4,96.575,95.98,96.25,11592
TF主连,2015/6/5,96.37,96.68,96.25,96.68,8415
TF主连,2015/6/8,96.595,96.92,96.465,96.87,7336
TF主连,2015/6/9,96.85,96.955,96.6,96.835,8370
TF主连,2015/6/10,96.75,96.78,95.99,96.22,9906
TF主连,2015/6/11,96.15,96.295,95.995,96.11,6956
TF主连,2015/6/12,96.155,96.42,95.85,96,10085
TF主连,2015/6/15,95.95,96.02,95.575,95.595,7871
TF主连,2015/6/16,95.65,96.345,95.55,96.27,12048
TF主连,2015/6/17,96.36,96.41,95.905,96.16,9442
TF主连,2015/6/18,96.21,96.595,96.115,96.515,7593
TF主连,2015/6/19,96.48,96.64,96.09,96.245,7714
TF主连,2015/6/23,96.13,96.22,95.82,96.105,8153
TF主连,2015/6/24,96.135,96.19,95.93,96.12,5368
TF主连,2015/6/25,95.975,96.595,95.94,96,10410
TF主连,2015/6/26,96,96.13,95.845,95.95,6832
TF主连,2015/6/29,96.12,96.275,95.585,95.725,9573
TF主连,2015/6/30,95.725,96.15,95.7,95.96,7151
TF主连,2015/7/1,95.94,96.055,95.705,95.725,4764
TF主连,2015/7/2,95.6,95.765,95.345,95.72,6119
TF主连,2015/7/3,95.72,96.455,95.7,96.295,8831
TF主连,2015/7/6,96.425,97.08,96.285,97.015,8808
TF主连,2015/7/7,97.21,97.37,96.91,97.17,6117
TF主连,2015/7/8,97.395,97.93,96.01,96.47,16715
TF主连,2015/7/9,96.475,97.53,96.35,97.075,8081
TF主连,2015/7/10,96.9,97.025,96.5,96.905,6768
TF主连,2015/7/13,96.85,97.3,96.73,96.945,5594
TF主连,2015/7/14,97.13,97.13,96.595,96.695,5086
TF主连,2015/7/15,96.56,96.93,96.4,96.72,5418
TF主连,2015/7/16,96.8,97.06,96.765,97.03,4009
TF主连,2015/7/17,96.99,97.235,96.81,97.08,4484
TF主连,2015/7/20,97.06,97.225,96.93,97.03,3628
TF主连,2015/7/21,96.98,96.995,96.71,96.815,4704
TF主连,2015/7/22,96.815,97.045,96.72,96.93,4817
TF主连,2015/7/23,97.045,97.35,97.04,97.305,5038
TF主连,2015/7/24,97.38,97.52,97.115,97.2,4713
